part_id,timestamp,machine_id,operator,diameter_mm
P0001,2026-07-01 06:00,CNC-03,S. Kaya,9.9983
P0002,2026-07-01 06:06,CNC-03,A. Muller,9.9979
P0003,2026-07-01 06:12,CNC-03,J. Becker,10.0033
P0004,2026-07-01 06:18,CNC-03,J. Becker,10.0193
P0005,2026-07-01 06:24,CNC-03,S. Kaya,10.004
P0006,2026-07-01 06:30,CNC-03,A. Muller,9.9968
P0007,2026-07-01 06:36,CNC-03,J. Becker,10.0083
P0008,2026-07-01 06:42,CNC-03,J. Becker,10.0016
P0009,2026-07-01 06:48,CNC-03,J. Becker,10.0079
P0010,2026-07-01 06:54,CNC-03,J. Becker,10.0013
P0011,2026-07-01 07:00,CNC-03,J. Becker,9.9919
P0012,2026-07-01 07:06,CNC-03,S. Kaya,9.9976
P0013,2026-07-01 07:12,CNC-03,A. Muller,10.0005
P0014,2026-07-01 07:18,CNC-03,J. Becker,9.9987
P0015,2026-07-01 07:24,CNC-03,A. Muller,9.9914
P0016,2026-07-01 07:30,CNC-03,S. Kaya,10.0045
P0017,2026-07-01 07:36,CNC-03,S. Kaya,10.0094
P0018,2026-07-01 07:42,CNC-03,S. Kaya,10.007
P0019,2026-07-01 07:48,CNC-03,J. Becker,9.9827
P0020,2026-07-01 07:54,CNC-03,S. Kaya,9.9868
P0021,2026-07-01 08:00,CNC-03,S. Kaya,9.9686
P0022,2026-07-01 08:06,CNC-03,A. Muller,9.9927
P0023,2026-07-01 08:12,CNC-03,J. Becker,9.9786
P0024,2026-07-01 08:18,CNC-03,S. Kaya,9.9928
P0025,2026-07-01 08:24,CNC-03,A. Muller,9.9834
P0026,2026-07-01 08:30,CNC-03,J. Becker,9.9912
P0027,2026-07-01 08:36,CNC-03,A. Muller,10.0014
P0028,2026-07-01 08:42,CNC-03,A. Muller,10.0098
P0029,2026-07-01 08:48,CNC-03,S. Kaya,10.0078
P0030,2026-07-01 08:54,CNC-03,J. Becker,9.9913
P0031,2026-07-01 09:00,CNC-03,S. Kaya,10.0036
P0032,2026-07-01 09:06,CNC-03,A. Muller,9.9938
P0033,2026-07-01 09:12,CNC-03,J. Becker,9.991
P0034,2026-07-01 09:18,CNC-03,J. Becker,9.9836
P0035,2026-07-01 09:24,CNC-03,J. Becker,10.0154
P0036,2026-07-01 09:30,CNC-03,J. Becker,10.0074
P0037,2026-07-01 09:36,CNC-03,S. Kaya,10.0004
P0038,2026-07-01 09:42,CNC-03,J. Becker,10.0134
P0039,2026-07-01 09:48,CNC-03,S. Kaya,9.9968
P0040,2026-07-01 09:54,CNC-03,A. Muller,9.9922
P0041,2026-07-01 10:00,CNC-03,S. Kaya,10.0004
P0042,2026-07-01 10:06,CNC-03,S. Kaya,10.003
P0043,2026-07-01 10:12,CNC-03,J. Becker,9.9991
P0044,2026-07-01 10:18,CNC-03,J. Becker,10.0082
P0045,2026-07-01 10:24,CNC-03,S. Kaya,9.9931
P0046,2026-07-01 10:30,CNC-03,J. Becker,10.0161
P0047,2026-07-01 10:36,CNC-03,A. Muller,9.9909
P0048,2026-07-01 10:42,CNC-03,J. Becker,10.0024
P0049,2026-07-01 10:48,CNC-03,J. Becker,9.9913
P0050,2026-07-01 10:54,CNC-03,S. Kaya,9.9965
P0051,2026-07-01 11:00,CNC-03,A. Muller,10.0129
P0052,2026-07-01 11:06,CNC-03,A. Muller,9.9912
P0053,2026-07-01 11:12,CNC-03,A. Muller,9.9948
P0054,2026-07-01 11:18,CNC-03,A. Muller,10.0023
P0055,2026-07-01 11:24,CNC-03,J. Becker,10.009
P0056,2026-07-01 11:30,CNC-03,S. Kaya,10.0122
P0057,2026-07-01 11:36,CNC-03,J. Becker,9.9924
P0058,2026-07-01 11:42,CNC-03,S. Kaya,9.9973
P0059,2026-07-01 11:48,CNC-03,A. Muller,9.9653
P0060,2026-07-01 11:54,CNC-03,J. Becker,10.0004
P0061,2026-07-01 12:00,CNC-03,J. Becker,10.0046
P0062,2026-07-01 12:06,CNC-03,S. Kaya,9.9861
P0063,2026-07-01 12:12,CNC-03,S. Kaya,10.0125
P0064,2026-07-01 12:18,CNC-03,S. Kaya,9.9972
P0065,2026-07-01 12:24,CNC-03,J. Becker,10.0133
P0066,2026-07-01 12:30,CNC-03,J. Becker,10.0146
P0067,2026-07-01 12:36,CNC-03,A. Muller,10.0128
P0068,2026-07-01 12:42,CNC-03,J. Becker,10.0341
P0069,2026-07-01 12:48,CNC-03,S. Kaya,10.0438
P0070,2026-07-01 12:54,CNC-03,J. Becker,10.0002
P0071,2026-07-01 13:00,CNC-03,S. Kaya,10.0074
P0072,2026-07-01 13:06,CNC-03,A. Muller,10.0184
P0073,2026-07-01 13:12,CNC-03,J. Becker,9.9929
P0074,2026-07-01 13:18,CNC-03,A. Muller,10.0139
P0075,2026-07-01 13:24,CNC-03,A. Muller,10.0065
P0076,2026-07-01 13:30,CNC-03,S. Kaya,10.0117
P0077,2026-07-01 13:36,CNC-03,S. Kaya,10.0453
P0078,2026-07-01 13:42,CNC-03,A. Muller,10.0034
P0079,2026-07-01 13:48,CNC-03,A. Muller,10.0559
P0080,2026-07-01 13:54,CNC-03,A. Muller,10.0378
