part_id,timestamp,machine_id,operator,diameter_mm,result
P0001,2026-07-01 06:00,CNC-03,S. Kaya,9.9983,PASS
P0002,2026-07-01 06:06,CNC-03,A. Muller,9.9979,PASS
P0003,2026-07-01 06:12,CNC-03,J. Becker,10.0033,PASS
P0004,2026-07-01 06:18,CNC-03,J. Becker,10.0193,PASS
P0005,2026-07-01 06:24,CNC-03,S. Kaya,10.004,PASS
P0006,2026-07-01 06:30,CNC-03,A. Muller,9.9968,PASS
P0007,2026-07-01 06:36,CNC-03,J. Becker,10.0083,PASS
P0008,2026-07-01 06:42,CNC-03,J. Becker,10.0016,PASS
P0009,2026-07-01 06:48,CNC-03,J. Becker,10.0079,PASS
P0010,2026-07-01 06:54,CNC-03,J. Becker,10.0013,PASS
P0011,2026-07-01 07:00,CNC-03,J. Becker,9.9919,PASS
P0012,2026-07-01 07:06,CNC-03,S. Kaya,9.9976,PASS
P0013,2026-07-01 07:12,CNC-03,A. Muller,10.0005,PASS
P0014,2026-07-01 07:18,CNC-03,J. Becker,9.9987,PASS
P0015,2026-07-01 07:24,CNC-03,A. Muller,9.9914,PASS
P0016,2026-07-01 07:30,CNC-03,S. Kaya,10.0045,PASS
P0017,2026-07-01 07:36,CNC-03,S. Kaya,10.0094,PASS
P0018,2026-07-01 07:42,CNC-03,S. Kaya,10.007,PASS
P0019,2026-07-01 07:48,CNC-03,J. Becker,9.9827,PASS
P0020,2026-07-01 07:54,CNC-03,S. Kaya,9.9868,PASS
P0021,2026-07-01 08:00,CNC-03,S. Kaya,9.9686,PASS
P0022,2026-07-01 08:06,CNC-03,A. Muller,9.9927,PASS
P0023,2026-07-01 08:12,CNC-03,J. Becker,9.9786,PASS
P0024,2026-07-01 08:18,CNC-03,S. Kaya,9.9928,PASS
P0025,2026-07-01 08:24,CNC-03,A. Muller,9.9834,PASS
P0026,2026-07-01 08:30,CNC-03,J. Becker,9.9912,PASS
P0027,2026-07-01 08:36,CNC-03,A. Muller,10.0014,PASS
P0028,2026-07-01 08:42,CNC-03,A. Muller,10.0098,PASS
P0029,2026-07-01 08:48,CNC-03,S. Kaya,10.0078,PASS
P0030,2026-07-01 08:54,CNC-03,J. Becker,9.9913,PASS
P0031,2026-07-01 09:00,CNC-03,S. Kaya,10.0036,PASS
P0032,2026-07-01 09:06,CNC-03,A. Muller,9.9938,PASS
P0033,2026-07-01 09:12,CNC-03,J. Becker,9.991,PASS
P0034,2026-07-01 09:18,CNC-03,J. Becker,9.9836,PASS
P0035,2026-07-01 09:24,CNC-03,J. Becker,10.0154,PASS
P0036,2026-07-01 09:30,CNC-03,J. Becker,10.0074,PASS
P0037,2026-07-01 09:36,CNC-03,S. Kaya,10.0004,PASS
P0038,2026-07-01 09:42,CNC-03,J. Becker,10.0134,PASS
P0039,2026-07-01 09:48,CNC-03,S. Kaya,9.9968,PASS
P0040,2026-07-01 09:54,CNC-03,A. Muller,9.9922,PASS
P0041,2026-07-01 10:00,CNC-03,S. Kaya,10.0004,PASS
P0042,2026-07-01 10:06,CNC-03,S. Kaya,10.003,PASS
P0043,2026-07-01 10:12,CNC-03,J. Becker,9.9991,PASS
P0044,2026-07-01 10:18,CNC-03,J. Becker,10.0082,PASS
P0045,2026-07-01 10:24,CNC-03,S. Kaya,9.9931,PASS
P0046,2026-07-01 10:30,CNC-03,J. Becker,10.0161,PASS
P0047,2026-07-01 10:36,CNC-03,A. Muller,9.9909,PASS
P0048,2026-07-01 10:42,CNC-03,J. Becker,10.0024,PASS
P0049,2026-07-01 10:48,CNC-03,J. Becker,9.9913,PASS
P0050,2026-07-01 10:54,CNC-03,S. Kaya,9.9965,PASS
P0051,2026-07-01 11:00,CNC-03,A. Muller,10.0129,PASS
P0052,2026-07-01 11:06,CNC-03,A. Muller,9.9912,PASS
P0053,2026-07-01 11:12,CNC-03,A. Muller,9.9948,PASS
P0054,2026-07-01 11:18,CNC-03,A. Muller,10.0023,PASS
P0055,2026-07-01 11:24,CNC-03,J. Becker,10.009,PASS
P0056,2026-07-01 11:30,CNC-03,S. Kaya,10.0122,PASS
P0057,2026-07-01 11:36,CNC-03,J. Becker,9.9924,PASS
P0058,2026-07-01 11:42,CNC-03,S. Kaya,9.9973,PASS
P0059,2026-07-01 11:48,CNC-03,A. Muller,9.9653,PASS
P0060,2026-07-01 11:54,CNC-03,J. Becker,10.0004,PASS
P0061,2026-07-01 12:00,CNC-03,J. Becker,10.0046,PASS
P0062,2026-07-01 12:06,CNC-03,S. Kaya,9.9861,PASS
P0063,2026-07-01 12:12,CNC-03,S. Kaya,10.0125,PASS
P0064,2026-07-01 12:18,CNC-03,S. Kaya,9.9972,PASS
P0065,2026-07-01 12:24,CNC-03,J. Becker,10.0133,PASS
P0066,2026-07-01 12:30,CNC-03,J. Becker,10.0146,PASS
P0067,2026-07-01 12:36,CNC-03,A. Muller,10.0128,PASS
P0068,2026-07-01 12:42,CNC-03,J. Becker,10.0341,PASS
P0069,2026-07-01 12:48,CNC-03,S. Kaya,10.0438,PASS
P0070,2026-07-01 12:54,CNC-03,J. Becker,10.0002,PASS
P0071,2026-07-01 13:00,CNC-03,S. Kaya,10.0074,PASS
P0072,2026-07-01 13:06,CNC-03,A. Muller,10.0184,PASS
P0073,2026-07-01 13:12,CNC-03,J. Becker,9.9929,PASS
P0074,2026-07-01 13:18,CNC-03,A. Muller,10.0139,PASS
P0075,2026-07-01 13:24,CNC-03,A. Muller,10.0065,PASS
P0076,2026-07-01 13:30,CNC-03,S. Kaya,10.0117,PASS
P0077,2026-07-01 13:36,CNC-03,S. Kaya,10.0453,PASS
P0078,2026-07-01 13:42,CNC-03,A. Muller,10.0034,PASS
P0079,2026-07-01 13:48,CNC-03,A. Muller,10.0559,FAIL
P0080,2026-07-01 13:54,CNC-03,A. Muller,10.0378,PASS
